,Year,Reporter,Import/Export,Partner,Description,Value_USD
19532,2000,Italy,Import,Libya,"Minerals, stone, and their products",5704625141.454
95042,2000,Netherlands,Import,Germany,Textiles and clothing,1278664894.0
64766,2000,Belgium,Import,Netherlands,plastics and rubber,1922285071.0
63874,2000,India,Export,"China, Hong Kong SAR",Metals,1950485855.0
19857,2000,Belgium,Export,Germany,"Machinery, appliances, and tools",5634646508.0
81460,2000,Russian Federation,Export,Sweden,"Minerals, stone, and their products",1510765422.0
99342,2000,Thailand,Export,United Kingdom,"Machinery, appliances, and tools",1216810182.0
94908,2000,USA,Import,"Other Asia, nes",Furniture and decor,1280706906.0
64587,2000,France,Import,Singapore,"Machinery, appliances, and tools",1927777403.0
79170,2000,France,Import,Japan,Vehicles and their parts,1556875415.0
94913,2000,United Kingdom,Import,France,"Minerals, stone, and their products",1280604687.0
2145,2000,USA,Import,"Other Asia, nes","Machinery, appliances, and tools",26873897168.0
19984,2000,USA,Import,Japan,Chemicals and pharmaceuticals,5609554863.0
84733,2000,Netherlands,Export,United Kingdom,Plant products,1449972787.0
19949,2000,Rep. of Korea,Export,China,"Machinery, appliances, and tools",5614659864.0
94935,2000,China,Export,Japan,Chemicals and pharmaceuticals,1280274255.0
99333,2000,USA,Import,"China, Hong Kong SAR",Metals,1216988781.0
64696,2000,Portugal,Import,Spain,"Machinery, appliances, and tools",1924767886.0
64702,2000,France,Import,"Other Asia, nes","Machinery, appliances, and tools",1924356760.0
84716,2000,USA,Import,Costa Rica,"Machinery, appliances, and tools",1450177225.0
94965,2000,China,Export,Rep. of Korea,"Minerals, stone, and their products",1279785398.0
64728,2000,Netherlands,Import,Belgium,"Machinery, appliances, and tools",1923538196.0
84312,2000,Rep. of Korea,Import,Philippines,"Machinery, appliances, and tools",1457032111.0
60681,2000,Germany,Export,Japan,Chemicals and pharmaceuticals,2054946000.0
60629,2000,Belgium,Import,Netherlands,Metals,2056977975.0
29725,2000,China,Export,Germany,"Machinery, appliances, and tools",4015878608.0
29672,2000,Germany,Import,United Kingdom,"Minerals, stone, and their products",4022115000.0
56567,2000,China,Import,Rep. of Korea,"Minerals, stone, and their products",2204842564.0
29610,2000,Netherlands,Export,Belgium,"Minerals, stone, and their products",4029020874.0
56587,2000,Poland,Export,Germany,"Machinery, appliances, and tools",2204316000.0
56596,2000,France,Export,Italy,Chemicals and pharmaceuticals,2204030166.0
79878,2000,Switzerland,Export,United Arab Emirates,Metals,1542472597.1899998
29556,2000,Netherlands,Import,Germany,Vehicles and their parts,4034914849.0
29516,2000,Canada,Export,USA,Textiles and clothing,4039231079.0
92612,2000,Mexico,Export,USA,Chemicals and pharmaceuticals,1316047988.0
29512,2000,Philippines,Export,Japan,"Machinery, appliances, and tools",4039674323.0
29510,2000,USA,Export,Canada,Textiles and clothing,4039918828.0
86477,2000,"China, Hong Kong SAR",Import,Thailand,"Machinery, appliances, and tools",1417764388.0
56719,2000,Belgium,Import,France,Miscellaneous food products,2198872752.0
29555,2000,Czechia,Export,Germany,"Machinery, appliances, and tools",4034921399.0
29757,2000,Germany,Import,Japan,Vehicles and their parts,4010658000.0
1358,2000,USA,Import,Canada,"Minerals, stone, and their products",35579812969.0
29796,2000,Germany,Import,USA,Chemicals and pharmaceuticals,4006001000.0
56250,2000,France,Import,USA,Vehicles and their parts,2216575083.0
86563,2000,United Kingdom,Export,Ireland,Vehicles and their parts,1416192110.0
30009,2000,Canada,Import,Mexico,"Machinery, appliances, and tools",3981440777.0
29987,2000,Rep. of Korea,Export,Singapore,"Machinery, appliances, and tools",3983990935.0
56306,2000,United Kingdom,Export,Japan,"Machinery, appliances, and tools",2214665734.0
29985,2000,USA,Import,Canada,Miscellaneous food products,3984100892.0
29959,2000,Israel,Export,USA,"Machinery, appliances, and tools",3987158000.0
56330,2000,Rep. of Korea,Export,China,Chemicals and pharmaceuticals,2213840318.0
86547,2000,Romania,Export,Italy,Textiles and clothing,1416418297.1100001
56367,2000,Belgium,Import,Germany,plastics and rubber,2212226391.0
29882,2000,Ukraine,Import,Russian Federation,"Minerals, stone, and their products",3995495690.0
56375,2000,Japan,Import,China,Metals,2211943324.0
56391,2000,USA,Import,Bangladesh,Textiles and clothing,2211205009.0
56408,2000,United Kingdom,Import,United Kingdom,"Machinery, appliances, and tools",2210742799.0
56429,2000,Germany,Import,Switzerland,Metals,2210108000.0
29428,2000,Rep. of Korea,Import,Japan,Metals,4049341164.0
79905,2000,United Kingdom,Export,Belgium,Vehicles and their parts,1542029702.0
29423,2000,Belgium,Export,Germany,Chemicals and pharmaceuticals,4049695596.0
1397,2000,"China, Hong Kong SAR",Import,China,"Machinery, appliances, and tools",34848119437.0
81312,2000,China,Import,Saudi Arabia,"Minerals, stone, and their products",1513928303.0
81313,2000,Canada,Export,United Kingdom,"Machinery, appliances, and tools",1513925045.0
99546,2000,Ireland,Export,Italy,Chemicals and pharmaceuticals,1214079996.846
28942,2000,Japan,Import,USA,Miscellaneous food products,4113534408.0
57149,2000,Germany,Import,Ireland,"Machinery, appliances, and tools",2182222000.0
28932,2000,Singapore,Import,Thailand,"Machinery, appliances, and tools",4114745349.0
29037,2000,Japan,Export,Indonesia,"Machinery, appliances, and tools",4101007865.0
28921,2000,Poland,Import,Russian Federation,"Minerals, stone, and their products",4116234000.0
28804,2000,Austria,Import,Germany,Vehicles and their parts,4131157489.0
57266,2000,United Kingdom,Export,Germany,Metals,2177329935.0
92783,2000,Netherlands,Export,United Kingdom,Animal products,1313118188.0
28776,2000,USA,Export,Switzerland,Metals,4135512994.0
86339,2000,United Kingdom,Export,Spain,Chemicals and pharmaceuticals,1420372637.0
92804,2000,"China, Macao SAR",Export,USA,Textiles and clothing,1312816283.483
28820,2000,Rep. of Korea,Import,China,"Machinery, appliances, and tools",4128085046.0
29068,2000,Germany,Export,Japan,Vehicles and their parts,4097734000.0
57019,2000,USA,Import,Gabon,"Minerals, stone, and their products",2187234035.0
57006,2000,Japan,Import,USA,"Minerals, stone, and their products",2187756349.0
56764,2000,Rep. of Korea,Import,USA,Chemicals and pharmaceuticals,2197602661.0
29388,2000,Singapore,Export,Thailand,"Machinery, appliances, and tools",4054995362.0
56770,2000,USA,Export,Netherlands,Vehicles and their parts,2197485008.0
29377,2000,Belgium,Export,Germany,Metals,4056350843.0
1405,2000,Saudi Arabia,Export,"Other Asia, nes","Minerals, stone, and their products",34643840371.0
92659,2000,Belgium,Export,Netherlands,Miscellaneous food products,1315306813.0
56850,2000,China,Import,Sweden,"Machinery, appliances, and tools",2194231743.0
29209,2000,Netherlands,Export,USA,"Machinery, appliances, and tools",4078429442.0
56957,2000,United Kingdom,Export,India,Metals,2189640021.0
56963,2000,USA,Import,Philippines,Textiles and clothing,2189327155.0
86421,2000,Germany,Export,Austria,"Minerals, stone, and their products",1418777000.0
86420,2000,Spain,Import,Italy,Textiles and clothing,1418805008.433
