,Year,Reporter,Import/Export,Partner,Description,Value_USD
69481,2023,Indonesia,Export,Viet Nam,"Minerals, stone, and their products",1786429008.015
69466,2023,USA,Export,Japan,Paper and wood,1786850486.0
69442,2023,Germany,Import,Cambodia,Textiles and clothing,1787413686.48
69418,2023,Hungary,Export,USA,Vehicles and their parts,1788307659.0
69417,2023,USA,Import,China,Cosmetics and soaps,1788312409.0
69149,2023,China,Export,Poland,Vehicles and their parts,1795526102.0
83646,2023,Malaysia,Export,Bangladesh,"Minerals, stone, and their products",1469632908.233
69116,2023,Japan,Export,India,Chemicals and pharmaceuticals,1796386709.503
69098,2023,USA,Export,France,Unspecified,1796826423.0
68784,2023,Poland,Export,France,plastics and rubber,1805117587.0
68750,2023,Saudi Arabia,Import,India,"Machinery, appliances, and tools",1806248796.711
68732,2023,"Other Asia, nes",Import,China,Unspecified,1806597638.5770001
68731,2023,Portugal,Import,Spain,Paper and wood,1806649443.335
68699,2023,United Kingdom,Import,USA,Miscellaneous food products,1807617581.263
68685,2023,Romania,Export,France,Vehicles and their parts,1807962266.3
68675,2023,Rep. of Korea,Import,China,Arts and games products,1808227948.0
68670,2023,China,Export,Spain,Chemicals and pharmaceuticals,1808345797.0
68661,2023,Chile,Import,China,Vehicles and their parts,1808517909.041
83761,2023,Germany,Export,Croatia,"Machinery, appliances, and tools",1467468112.9459999
68624,2023,Singapore,Import,Kuwait,"Minerals, stone, and their products",1809582193.57
68623,2023,Italy,Export,Czechia,Metals,1809610649.912
68608,2023,United Arab Emirates,Import,China,"Minerals, stone, and their products",1809938687.364
83772,2023,USA,Export,Singapore,plastics and rubber,1467240873.0
83774,2023,Germany,Export,Chile,Vehicles and their parts,1467215402.089
83726,2023,United Arab Emirates,Import,USA,Chemicals and pharmaceuticals,1468326389.696
83787,2023,Sweden,Export,China,Chemicals and pharmaceuticals,1466852754.862
68801,2023,Thailand,Import,Singapore,"Minerals, stone, and their products",1804624689.8219998
68821,2023,Denmark,Import,Germany,Animal products,1804222082.3909998
69083,2023,USA,Import,Switzerland,Miscellaneous food products,1797422833.0
69082,2023,Ireland,Export,United Kingdom,"Minerals, stone, and their products",1797436629.218
69063,2023,Rep. of Korea,Export,Japan,plastics and rubber,1798032522.0
69043,2023,Czechia,Export,Slovakia,"Minerals, stone, and their products",1798621944.0
83672,2023,Germany,Export,United Kingdom,Unspecified,1469177309.9369998
68999,2023,Germany,Import,Russian Federation,Metals,1799768972.124
68983,2023,Rep. of Korea,Import,USA,Plant products,1800191081.0
68976,2023,Rep. of Korea,Import,Chile,"Minerals, stone, and their products",1800302023.0
68958,2023,Switzerland,Import,France,Vehicles and their parts,1800797863.898
68950,2023,"China, Hong Kong SAR",Import,Thailand,Metals,1800900247.516
68911,2023,India,Export,Italy,"Machinery, appliances, and tools",1801964650.749
68909,2023,Brazil,Export,Argentina,"Minerals, stone, and their products",1801990324.0
68857,2023,Türkiye,Export,France,"Machinery, appliances, and tools",1803289342.0
68853,2023,Germany,Import,Slovakia,Metals,1803331089.412
68828,2023,Thailand,Import,Brazil,Miscellaneous food products,1804033199.065
83719,2023,Philippines,Import,United Arab Emirates,"Minerals, stone, and their products",1468402524.0
46227,2023,China,Export,Saudi Arabia,plastics and rubber,2680827425.0
99999,2023,Germany,Export,Türkiye,"Minerals, stone, and their products",1208188850.775
46218,2023,Indonesia,Export,"Other Asia, nes","Minerals, stone, and their products",2681354285.744
29252,2023,Sweden,Export,Germany,"Machinery, appliances, and tools",4072462229.829
92674,2023,Spain,Import,Portugal,plastics and rubber,1315088199.136
38172,2023,France,Export,China,Miscellaneous food products,3204508809.592
38189,2023,"Other Asia, nes",Import,United Arab Emirates,"Minerals, stone, and their products",3202439115.755
29242,2023,Slovakia,Import,Viet Nam,"Machinery, appliances, and tools",4074173637.4960003
29237,2023,Netherlands,Export,France,Miscellaneous food products,4074893463.967
38208,2023,Spain,Import,Italy,Metals,3201148391.569
38235,2023,Rep. of Korea,Import,Chile,Chemicals and pharmaceuticals,3199422584.0
38236,2023,Germany,Import,United Kingdom,Chemicals and pharmaceuticals,3199285756.659
38247,2023,Spain,Export,Italy,"Machinery, appliances, and tools",3198468712.019
90672,2023,Norway,Export,USA,"Minerals, stone, and their products",1346351623.1890001
29292,2023,Singapore,Import,France,"Machinery, appliances, and tools",4067109387.215
38253,2023,China,Export,United Arab Emirates,plastics and rubber,3197942728.0
92688,2023,France,Export,Slovakia,"Machinery, appliances, and tools",1314946339.05
38263,2023,Rep. of Korea,Export,Viet Nam,Metals,3196785743.0
90666,2023,Türkiye,Export,United Kingdom,Metals,1346458359.0
38277,2023,Belgium,Import,Netherlands,Plant products,3195599842.745
38279,2023,China,Import,Italy,Animal products,3195461155.0
38320,2023,Brazil,Import,China,Vehicles and their parts,3192048645.0
29164,2023,China,Export,Sweden,"Machinery, appliances, and tools",4085107734.0
29154,2023,United Kingdom,Import,Slovakia,Vehicles and their parts,4087181953.561
90655,2023,Kazakhstan,Export,Türkiye,Metals,1346568292.43
90654,2023,France,Import,Morocco,"Machinery, appliances, and tools",1346591616.904
29147,2023,Netherlands,Import,Italy,"Machinery, appliances, and tools",4088072114.0420003
29188,2023,Italy,Export,Switzerland,Textiles and clothing,4081571088.101
38154,2023,Pakistan,Import,Qatar,"Minerals, stone, and their products",3205610827.867
38143,2023,USA,Export,Thailand,"Minerals, stone, and their products",3206237848.0
38140,2023,USA,Import,Brazil,Miscellaneous food products,3206702278.0
90756,2023,Czechia,Import,India,"Machinery, appliances, and tools",1344902476.0
29383,2023,USA,Import,Australia,Metals,4056012751.0
37848,2023,Qatar,Export,Italy,"Minerals, stone, and their products",3229511503.4410005
29359,2023,China,Import,Zambia,Metals,4058528656.0
37867,2023,Singapore,Export,Australia,"Machinery, appliances, and tools",3228023155.798
29354,2023,Netherlands,Import,Brazil,"Minerals, stone, and their products",4058994126.872
92647,2023,Singapore,Export,Indonesia,Chemicals and pharmaceuticals,1315571971.374
37927,2023,United Kingdom,Import,Ireland,"Machinery, appliances, and tools",3223959135.83
29349,2023,"Other Asia, nes",Export,China,Chemicals and pharmaceuticals,4059789541.457
29347,2023,Malaysia,Import,Australia,"Minerals, stone, and their products",4060564028.9709997
92651,2023,Spain,Import,Viet Nam,"Machinery, appliances, and tools",1315516220.779
90724,2023,Spain,Import,Netherlands,Miscellaneous food products,1345379237.74
38001,2023,USA,Import,Sweden,Chemicals and pharmaceuticals,3218157259.0
38043,2023,Switzerland,Export,China,Textiles and clothing,3215433322.587
38059,2023,United Arab Emirates,Import,Ghana,Metals,3213880491.804
29326,2023,Japan,Import,Brazil,"Minerals, stone, and their products",4062912866.53
29306,2023,USA,Import,France,Cosmetics and soaps,4065490845.0
38071,2023,India,Import,Nigeria,"Minerals, stone, and their products",3212778336.657
92660,2023,USA,Import,Finland,Chemicals and pharmaceuticals,1315291497.0
38076,2023,United Kingdom,Import,Spain,Plant products,3212486053.722
38077,2023,China,Export,Panama,"Machinery, appliances, and tools",3212484788.0
38082,2023,Spain,Export,Germany,Chemicals and pharmaceuticals,3211911445.637
38086,2023,Sweden,Import,Netherlands,"Minerals, stone, and their products",3211425026.921
38102,2023,Austria,Import,Italy,"Machinery, appliances, and tools",3210308930.179
29304,2023,Rep. of Korea,Export,India,Metals,4065794813.0
38358,2023,Canada,Import,"Other Asia, nes","Machinery, appliances, and tools",3189001929.877
38372,2023,Italy,Import,Switzerland,"Minerals, stone, and their products",3188003824.7469997
29143,2023,Germany,Import,Belgium,"Machinery, appliances, and tools",4088579823.7219996
29141,2023,United Kingdom,Import,Bangladesh,Textiles and clothing,4088747194.197
28948,2023,Italy,Import,Iraq,"Minerals, stone, and their products",4112669741.419
38633,2023,Japan,Import,Singapore,"Machinery, appliances, and tools",3168790640.1870003
38640,2023,USA,Export,Brazil,plastics and rubber,3167884524.0
28919,2023,Rep. of Korea,Import,Japan,Chemicals and pharmaceuticals,4116379980.0
38656,2023,Gabon,Export,China,"Minerals, stone, and their products",3166796883.323
38693,2023,France,Export,Italy,Miscellaneous food products,3163462879.634
90569,2023,India,Import,Malaysia,Metals,1347981406.228
38702,2023,China,Export,South Africa,Textiles and clothing,3162538027.0
28885,2023,Mexico,Export,"Other Europe, nes","Minerals, stone, and their products",4120486878.0
38717,2023,Thailand,Import,Indonesia,"Minerals, stone, and their products",3161390939.295
28883,2023,Pakistan,Export,USA,Textiles and clothing,4120576408.294
28881,2023,Italy,Export,France,"Minerals, stone, and their products",4121249035.927
92761,2023,Rep. of Korea,Export,USA,Textiles and clothing,1313516313.0
92762,2023,Poland,Import,Viet Nam,Textiles and clothing,1313473981.0
38732,2023,Türkiye,Export,United Kingdom,Vehicles and their parts,3160344884.0
38741,2023,China,Export,Kyrgyzstan,Vehicles and their parts,3159545707.0
38748,2023,Brazil,Export,Indonesia,Miscellaneous food products,3159232266.0
28877,2023,USA,Import,Chile,Animal products,4121499721.0
38750,2023,Türkiye,Import,China,Textiles and clothing,3159174277.0
28855,2023,"Other Asia, nes",Export,USA,Vehicles and their parts,4124072000.276
90552,2023,Germany,Export,Czechia,Paper and wood,1348275643.0419998
28841,2023,Slovakia,Export,Czechia,"Machinery, appliances, and tools",4125526452.4119997
38766,2023,China,Import,China,Metals,3157627811.0
28832,2023,China,Export,Viet Nam,Chemicals and pharmaceuticals,4126864715.0
28828,2023,Austria,Import,Switzerland,Chemicals and pharmaceuticals,4127279755.43
28949,2023,Japan,Import,USA,Vehicles and their parts,4112546975.512
29410,2023,Spain,Export,Bunkers,Unspecified,4052437969.371
38597,2023,France,Export,Germany,Animal products,3170915576.582
38574,2023,Japan,Import,Papua New Guinea,"Minerals, stone, and their products",3173550373.661
38390,2023,China,Export,Indonesia,Chemicals and pharmaceuticals,3186747075.0
38407,2023,Romania,Import,Italy,"Machinery, appliances, and tools",3185504309.8
29057,2023,China,Export,Iran,"Machinery, appliances, and tools",4098651420.0
38414,2023,Poland,Export,Sweden,"Machinery, appliances, and tools",3185161749.0
38417,2023,China,Import,Philippines,"Minerals, stone, and their products",3185043306.0
38422,2023,Hungary,Export,USA,"Machinery, appliances, and tools",3184822933.0
90631,2023,Hungary,Export,France,Vehicles and their parts,1346992257.0
38436,2023,Finland,Import,Sweden,"Minerals, stone, and their products",3184186227.474
29041,2023,China,Export,Canada,Vehicles and their parts,4100312389.0
29035,2023,China,Export,Italy,Metals,4101197003.0
90628,2023,"China, Hong Kong SAR",Export,Uzbekistan,"Machinery, appliances, and tools",1347025300.689
38442,2023,USA,Export,France,Chemicals and pharmaceuticals,3183930166.0
38467,2023,Germany,Import,Italy,Animal products,3181993054.652
38469,2023,Sweden,Export,Finland,"Machinery, appliances, and tools",3181932828.101
38505,2023,Germany,Export,China,"Minerals, stone, and their products",3178999804.682
38555,2023,Switzerland,Import,United Kingdom,Metals,3174784952.963
29026,2023,Italy,Import,France,Chemicals and pharmaceuticals,4102150520.173
90609,2023,Kazakhstan,Import,Rep. of Korea,Vehicles and their parts,1347397629.02
29024,2023,France,Export,Belgium,Metals,4102205113.425
38563,2023,Japan,Import,USA,Metals,3174390190.9690003
29000,2023,"China, Hong Kong SAR",Import,Germany,"Machinery, appliances, and tools",4106045101.8329997
38564,2023,Netherlands,Import,France,Miscellaneous food products,3174254621.6610003
92737,2023,Türkiye,Export,Spain,"Machinery, appliances, and tools",1314084084.0
38571,2023,Italy,Import,Spain,"Machinery, appliances, and tools",3173863136.4630003
28967,2023,Argentina,Import,Brazil,Vehicles and their parts,4109777421.29
38596,2023,Morocco,Import,China,"Machinery, appliances, and tools",3170993570.493
38768,2023,USA,Import,Austria,Vehicles and their parts,3157346221.0
37783,2023,Paraguay,Export,Argentina,Plant products,3234050537.65
37766,2023,Brazil,Import,Germany,Chemicals and pharmaceuticals,3235155848.0
37013,2023,China,Export,Philippines,plastics and rubber,3295378768.0
37015,2023,China,Import,Italy,Chemicals and pharmaceuticals,3295083619.0
29756,2023,China,Export,United Kingdom,Arts and games products,4010698608.0
29751,2023,Spain,Import,Mexico,"Minerals, stone, and their products",4012182916.8890004
37045,2023,Japan,Export,"Other Asia, nes","Minerals, stone, and their products",3292614163.284
37048,2023,Italy,Import,Germany,Miscellaneous food products,3292361403.8009996
37078,2023,Malaysia,Import,Thailand,"Machinery, appliances, and tools",3290558848.8640003
37094,2023,Germany,Export,Italy,Miscellaneous food products,3289194103.102
29731,2023,Germany,Export,Belgium,plastics and rubber,4014904231.121
37122,2023,China,Export,Türkiye,Vehicles and their parts,3286967384.0
29727,2023,"Other Asia, nes",Export,China,Metals,4015781307.9240003
29792,2023,China,Export,Viet Nam,Unspecified,4006460146.0
37162,2023,United Kingdom,Import,Kuwait,"Minerals, stone, and their products",3283171179.225
37171,2023,Rep. of Korea,Export,Philippines,"Machinery, appliances, and tools",3282347752.0
90898,2023,Thailand,Export,Malaysia,"Minerals, stone, and their products",1342551726.597
29724,2023,"China, Hong Kong SAR",Export,Mexico,"Machinery, appliances, and tools",4015937439.6150002
90888,2023,USA,Export,Sweden,Chemicals and pharmaceuticals,1342717782.0
29712,2023,Germany,Import,USA,Metals,4016999216.106
29692,2023,USA,Import,Pakistan,Textiles and clothing,4019339469.0
29686,2023,Germany,Export,Malaysia,"Machinery, appliances, and tools",4019684859.209
37204,2023,Qatar,Export,"Other Asia, nes","Minerals, stone, and their products",3279787441.665
29685,2023,Brazil,Export,Argentina,Vehicles and their parts,4019983152.0
29682,2023,Saudi Arabia,Import,USA,Vehicles and their parts,4020814076.013
37206,2023,Indonesia,Import,Australia,"Minerals, stone, and their products",3279738800.0
90905,2023,China,Export,Bulgaria,"Machinery, appliances, and tools",1342463162.0
36996,2023,Indonesia,Import,Singapore,"Machinery, appliances, and tools",3296051475.0
29812,2023,China,Export,Rep. of Korea,Animal products,4004434641.0
29827,2023,Czechia,Export,Hungary,"Machinery, appliances, and tools",4001934049.0
36748,2023,Netherlands,Export,Sweden,"Minerals, stone, and their products",3317478387.204
36749,2023,Netherlands,Export,Belgium,Vehicles and their parts,3317452705.9930005
36752,2023,France,Import,United Kingdom,Vehicles and their parts,3317412250.3269997
36756,2023,Italy,Export,Mexico,"Machinery, appliances, and tools",3317201642.988
36775,2023,Kuwait,Import,China,"Machinery, appliances, and tools",3315802731.071
90988,2023,Indonesia,Export,China,Chemicals and pharmaceuticals,1341281171.5830002
36779,2023,United Arab Emirates,Export,Iraq,Vehicles and their parts,3315598264.711
36812,2023,USA,Export,Colombia,"Machinery, appliances, and tools",3312170157.0
29922,2023,Thailand,Import,Australia,"Minerals, stone, and their products",3990969171.784
36832,2023,Italy,Import,Spain,"Minerals, stone, and their products",3309785641.0550003
36851,2023,Netherlands,Export,United Kingdom,Miscellaneous food products,3308155654.5620003
36856,2023,China,Export,Brazil,plastics and rubber,3307811866.0
36860,2023,Türkiye,Import,China,Chemicals and pharmaceuticals,3307566097.0
29887,2023,United Arab Emirates,Export,Iraq,Metals,3994836890.217
36861,2023,Italy,Import,France,Miscellaneous food products,3307462184.012
29875,2023,Spain,Export,USA,"Minerals, stone, and their products",3996247383.9709997
90963,2023,Malaysia,Import,Indonesia,Metals,1341657823.9160001
29852,2023,Belgium,Export,Netherlands,Metals,3999169394.311
29847,2023,United Kingdom,Export,USA,"Minerals, stone, and their products",3999608404.4040003
29843,2023,China,Export,Indonesia,plastics and rubber,3999956228.0
29838,2023,Brazil,Export,China,Paper and wood,4000811610.0
29835,2023,United Kingdom,Import,Japan,Vehicles and their parts,4000926226.3059998
36911,2023,Slovakia,Export,United Kingdom,Vehicles and their parts,3302776469.685
36931,2023,USA,Export,Argentina,"Minerals, stone, and their products",3301304086.0
92540,2023,Sri Lanka,Import,United Arab Emirates,"Minerals, stone, and their products",1317481462.5839999
90885,2023,Switzerland,Export,Japan,"Machinery, appliances, and tools",1342727996.676
37218,2023,China,Export,Germany,plastics and rubber,3278782211.0
90880,2023,China,Export,Chile,plastics and rubber,1342845512.0
37226,2023,Poland,Export,France,Vehicles and their parts,3278313455.0
37473,2023,"Other Asia, nes",Export,Mexico,"Machinery, appliances, and tools",3258305113.506
37484,2023,"China, Hong Kong SAR",Export,China,"Minerals, stone, and their products",3257433147.914
29461,2023,Belgium,Import,Germany,"Minerals, stone, and their products",4045497896.309
37527,2023,Italy,Export,USA,Animal products,3254540635.39
29450,2023,United Kingdom,Export,Germany,Metals,4046505130.484
37551,2023,USA,Import,Denmark,"Machinery, appliances, and tools",3251991001.0
29438,2023,United Kingdom,Import,Czechia,Vehicles and their parts,4048225830.352
92626,2023,Denmark,Import,Norway,Animal products,1315852653.7670002
37581,2023,Canada,Import,Italy,"Machinery, appliances, and tools",3249941582.547
90804,2023,Hungary,Export,Sweden,"Machinery, appliances, and tools",1344052260.0
37592,2023,India,Export,Togo,"Minerals, stone, and their products",3249265804.4969997
90799,2023,India,Export,Belgium,"Minerals, stone, and their products",1344090358.451
37609,2023,India,Export,USA,Vehicles and their parts,3247491591.966
37618,2023,Spain,Import,France,"Minerals, stone, and their products",3246863129.344
37620,2023,USA,Export,United Arab Emirates,Metals,3246690328.0
37627,2023,Argentina,Import,Paraguay,Plant products,3245792964.1400003
37638,2023,France,Import,Italy,Chemicals and pharmaceuticals,3244925136.2939997
37640,2023,United Kingdom,Import,Belgium,"Minerals, stone, and their products",3244622248.2549996
37660,2023,United Arab Emirates,Export,Russian Federation,"Machinery, appliances, and tools",3242817531.01
90782,2023,USA,Import,Viet Nam,Plant products,1344503111.0
37700,2023,Qatar,Export,Pakistan,"Minerals, stone, and their products",3239898989.397
29419,2023,Rep. of Korea,Export,Malaysia,"Machinery, appliances, and tools",4050002089.0
37724,2023,China,Export,Indonesia,Vehicles and their parts,3238340987.0
37734,2023,"China, Hong Kong SAR",Import,China,Vehicles and their parts,3237688195.533
37735,2023,USA,Export,India,Vehicles and their parts,3237687311.0
29462,2023,Japan,Import,China,Plant products,4045337802.952
37775,2023,USA,Import,Viet Nam,Animal products,3234596179.0
29475,2023,USA,Import,Austria,Chemicals and pharmaceuticals,4043932985.0
90828,2023,"China, Hong Kong SAR",Export,United Kingdom,Furniture and decor,1343727686.957
37271,2023,Rep. of Korea,Import,Kazakhstan,"Minerals, stone, and their products",3274892481.0
29679,2023,Poland,Import,Netherlands,"Machinery, appliances, and tools",4021182136.0
29658,2023,Germany,Export,United Kingdom,plastics and rubber,4023979530.578
37281,2023,Japan,Export,Germany,Vehicles and their parts,3274041073.282
29634,2023,Rep. of Korea,Export,Liberia,Vehicles and their parts,4026820948.0
37285,2023,China,Export,Slovakia,"Machinery, appliances, and tools",3273760677.0
37288,2023,Netherlands,Import,Kazakhstan,"Minerals, stone, and their products",3273620146.7679996
29630,2023,Spain,Export,Switzerland,Chemicals and pharmaceuticals,4027027931.272
29625,2023,Mexico,Import,Italy,"Machinery, appliances, and tools",4027332244.0
37297,2023,Italy,Export,Germany,Animal products,3272945449.208
29607,2023,Kazakhstan,Import,China,Textiles and clothing,4029471019.2700005
37300,2023,Austria,Import,Switzerland,Metals,3272610482.9989996
37326,2023,China,Export,Malaysia,Vehicles and their parts,3270478706.0
37346,2023,Dem. Rep. of the Congo,Import,China,"Machinery, appliances, and tools",3268851581.5
37350,2023,Germany,Export,Italy,"Minerals, stone, and their products",3268773015.252
92600,2023,Germany,Import,Czechia,Unspecified,1316300380.3860002
37360,2023,China,Export,"Other Asia, nes",Unspecified,3267850177.0
29566,2023,Poland,Import,Germany,Miscellaneous food products,4034276230.0
37361,2023,Germany,Export,Austria,Paper and wood,3267805229.019
29557,2023,Netherlands,Export,Czechia,"Machinery, appliances, and tools",4034817356.274
37380,2023,Germany,Export,Spain,plastics and rubber,3266199855.442
29528,2023,USA,Export,Israel,Metals,4038030738.0
37444,2023,Germany,Import,Austria,Miscellaneous food products,3260452191.5220003
37446,2023,Poland,Import,Germany,Paper and wood,3260344407.0
29525,2023,Ireland,Export,United Kingdom,Animal products,4038188033.869
90826,2023,"China, Hong Kong SAR",Import,Rep. of Korea,"Minerals, stone, and their products",1343742632.707
36725,2023,Denmark,Export,USA,"Machinery, appliances, and tools",3319210139.968
28811,2023,China,Export,"Other Asia, nes",Metals,4129640863.0
90540,2023,Italy,Export,Belgium,"Minerals, stone, and their products",1348478419.834
40314,2023,Poland,Export,Italy,Vehicles and their parts,3044559143.0
40327,2023,China,Import,Canada,Paper and wood,3043585278.0
28086,2023,Germany,Import,Sweden,"Machinery, appliances, and tools",4220174687.9849997
40383,2023,Italy,Import,Qatar,"Minerals, stone, and their products",3040211300.297
90211,2023,China,Import,Rep. of Korea,Miscellaneous food products,1353866854.0
40384,2023,United Kingdom,Import,Netherlands,Miscellaneous food products,3040178218.9490004
40389,2023,Austria,Import,Germany,Paper and wood,3039814855.3200006
28073,2023,Malaysia,Import,United Arab Emirates,"Minerals, stone, and their products",4221704234.653
40395,2023,Thailand,Import,Rep. of Korea,"Machinery, appliances, and tools",3039601687.4900002
40397,2023,France,Export,Italy,plastics and rubber,3039545116.644
28055,2023,Czechia,Import,Poland,"Machinery, appliances, and tools",4223402886.0
40269,2023,India,Import,Italy,"Machinery, appliances, and tools",3047514689.9919996
28053,2023,Germany,Import,Spain,Metals,4223573551.0090003
90198,2023,China,Export,Italy,Furniture and decor,1354052697.0
28034,2023,China,Import,Viet Nam,Plant products,4225340362.0
28031,2023,Austria,Export,Germany,Chemicals and pharmaceuticals,4225552234.738
40462,2023,United Kingdom,Export,Netherlands,Chemicals and pharmaceuticals,3035156279.131
40475,2023,Czechia,Import,Norway,"Minerals, stone, and their products",3034563432.0
28027,2023,China,Import,Australia,Animal products,4226290643.0
40478,2023,Spain,Import,Libya,"Minerals, stone, and their products",3034084902.276
40482,2023,USA,Import,India,Vehicles and their parts,3033615255.0
92973,2023,Spain,Export,Morocco,Metals,1310008677.899
40492,2023,China,Import,Argentina,Animal products,3032842936.0
40493,2023,Philippines,Export,Singapore,"Machinery, appliances, and tools",3032771127.0
40398,2023,"China, Hong Kong SAR",Export,USA,Textiles and clothing,3039487060.369
40261,2023,Czechia,Import,USA,"Machinery, appliances, and tools",3048065357.0
40258,2023,Türkiye,Export,Italy,Vehicles and their parts,3048275291.0
92949,2023,Ireland,Export,Mexico,Cosmetics and soaps,1310345667.581
28193,2023,Indonesia,Export,Philippines,"Minerals, stone, and their products",4205000616.2939997
39942,2023,Portugal,Import,Germany,Vehicles and their parts,3069536415.7339997
39944,2023,Spain,Import,Morocco,"Machinery, appliances, and tools",3069489031.959
39946,2023,Oman,Import,Saudi Arabia,"Minerals, stone, and their products",3069429121.336
28186,2023,Germany,Export,China,Metals,4205738766.874
39949,2023,Canada,Export,Switzerland,Metals,3069331772.5470004
39957,2023,Malaysia,Import,Ireland,"Machinery, appliances, and tools",3068765410.504
39965,2023,China,Export,Austria,"Machinery, appliances, and tools",3068296504.0
28172,2023,Türkiye,Import,France,Vehicles and their parts,4207552647.0
90285,2023,Japan,Export,Viet Nam,Unspecified,1352678840.276
40043,2023,China,Import,Thailand,Metals,3061889128.0
40046,2023,"Other Asia, nes",Import,Viet Nam,"Machinery, appliances, and tools",3061784946.9810004
90280,2023,Thailand,Export,Mexico,Vehicles and their parts,1352765845.3939998
40070,2023,Germany,Import,Austria,Paper and wood,3060392780.101
40078,2023,USA,Export,Germany,Unspecified,3059945226.0
40143,2023,France,Export,Spain,Chemicals and pharmaceuticals,3055323892.288
28169,2023,United Arab Emirates,Import,Japan,"Machinery, appliances, and tools",4207707174.839
40158,2023,"Other Asia, nes",Import,Germany,Vehicles and their parts,3054762909.809
28163,2023,Japan,Export,United Arab Emirates,Vehicles and their parts,4208249007.476
92941,2023,Switzerland,Import,Italy,"Minerals, stone, and their products",1310424889.647
90258,2023,Spain,Import,France,Plant products,1353074374.355
92942,2023,United Kingdom,Import,Italy,Plant products,1310407984.814
28156,2023,Saudi Arabia,Import,United Arab Emirates,Metals,4208945351.843
40213,2023,Peru,Export,USA,Plant products,3051195664.8100004
40250,2023,United Kingdom,Import,Rep. of Korea,Vehicles and their parts,3048760380.5989995
40503,2023,Italy,Import,Hungary,"Machinery, appliances, and tools",3031372229.922
40506,2023,Mexico,Import,Japan,Metals,3031258528.0
90176,2023,Australia,Import,France,"Machinery, appliances, and tools",1354452326.611
28017,2023,Netherlands,Export,Italy,"Minerals, stone, and their products",4228582900.928
40765,2023,Mexico,Export,USA,Chemicals and pharmaceuticals,3013192399.0
40789,2023,Germany,Import,Austria,plastics and rubber,3011180798.121
93005,2023,Netherlands,Import,Finland,"Machinery, appliances, and tools",1309654051.408
90108,2023,Spain,Import,Portugal,Paper and wood,1355478080.581
27884,2023,Thailand,Import,China,plastics and rubber,4248548033.307
40793,2023,China,Import,Malaysia,plastics and rubber,3011047603.0
27879,2023,Japan,Export,Philippines,"Machinery, appliances, and tools",4249785787.7
90103,2023,United Kingdom,Import,Japan,Metals,1355592302.735
27870,2023,United Arab Emirates,Import,China,Textiles and clothing,4250471344.643
90097,2023,Germany,Import,Denmark,Metals,1355665792.9220002
27869,2023,Germany,Export,France,Paper and wood,4251143985.891
40820,2023,France,Import,Switzerland,Chemicals and pharmaceuticals,3009019023.175
40868,2023,Italy,Import,Czechia,"Machinery, appliances, and tools",3005743968.6530004
90086,2023,France,Import,China,Animal products,1355778110.781
40900,2023,Japan,Import,China,Unspecified,3003759104.6260004
27855,2023,Germany,Export,Canada,Vehicles and their parts,4253498391.0039997
40906,2023,Slovakia,Import,"Other Europe, nes","Machinery, appliances, and tools",3003417649.492
27848,2023,Germany,Export,Italy,Animal products,4254959830.426
40908,2023,Belgium,Export,Sweden,Vehicles and their parts,3003317415.598
90082,2023,Japan,Export,India,plastics and rubber,1355922009.7649999
93020,2023,Netherlands,Export,Türkiye,Metals,1309425701.531
27791,2023,Japan,Export,United Kingdom,Vehicles and their parts,4264649116.944
40919,2023,Kazakhstan,Export,China,Metals,3002482746.67
27782,2023,China,Export,Australia,"Minerals, stone, and their products",4266350395.0
40921,2023,Ecuador,Export,USA,"Minerals, stone, and their products",3002437151.2
40748,2023,Belgium,Import,Germany,plastics and rubber,3014461897.9300003
39941,2023,Belgium,Export,India,Metals,3069639641.821
40745,2023,Austria,Export,China,"Machinery, appliances, and tools",3014667589.91
40732,2023,Switzerland,Import,Japan,Metals,3015820545.8770003
40518,2023,Spain,Export,Belgium,Vehicles and their parts,3030710200.8599997
92977,2023,Portugal,Import,Ireland,Chemicals and pharmaceuticals,1309957632.71
40523,2023,Philippines,Import,Thailand,Vehicles and their parts,3030395329.0
90169,2023,Italy,Export,Poland,Chemicals and pharmaceuticals,1354577956.678
92981,2023,Finland,Import,USA,"Machinery, appliances, and tools",1309904308.867
40531,2023,Netherlands,Export,France,Textiles and clothing,3030135863.05
27984,2023,Australia,Import,China,"Minerals, stone, and their products",4232641778.0689993
40555,2023,Canada,Export,Rep. of Korea,"Minerals, stone, and their products",3027777938.38
40577,2023,Japan,Import,Thailand,Animal products,3026780677.4449997
40588,2023,Singapore,Import,Australia,"Minerals, stone, and their products",3025697781.946
40606,2023,France,Export,Belgium,Animal products,3024950081.447
40612,2023,Brazil,Import,China,plastics and rubber,3024677998.0
27981,2023,South Africa,Export,USA,Metals,4233093491.4379997
40639,2023,China,Export,Kazakhstan,Vehicles and their parts,3023033166.0
92989,2023,Singapore,Import,Germany,Vehicles and their parts,1309846432.467
40646,2023,Italy,Export,China,Textiles and clothing,3022498481.0969996
27954,2023,USA,Import,Viet Nam,plastics and rubber,4236369838.0
40688,2023,Germany,Export,Sweden,Metals,3019337227.935
27950,2023,Germany,Import,Austria,"Minerals, stone, and their products",4237495075.875
40699,2023,United Kingdom,Export,France,"Minerals, stone, and their products",3018390896.139
40714,2023,Czechia,Import,Hungary,"Machinery, appliances, and tools",3017164534.0
40718,2023,France,Export,India,Vehicles and their parts,3016820156.7710004
